gene,p-value,chrom
CASP7,0,chr10
NHLRC2,0.366,chr10
ABLIM1,0.00214,chr10
FHIP2A,0.434,chr10
TRUB1,0.978,chr10
ENO4,0.578,chr10
SHTN1,0.577,chr10
PDZD8,0.192,chr10
SLC18A2,0.725,chr10
CACUL1,0.139,chr10
PROSER2-AS1,0.44,chr10
PROSER2,0.471,chr10
GRK5,0.00901,chr10
TIAL1,0.208,chr10
BAG3,0.143,chr10
MCMBP,0.271,chr10
SEC23IP,0.0643,chr10
WDR11,0.168,chr10
DHTKD1,0.508,chr10
ATE1,0.363,chr10
TACC2,0.363,chr10
PLEKHA1,0.0988,chr10
ACADSB,0.904,chr10
CPXM2,0.000406666666666667,chr10
CHST15,0.0368,chr10
OAT,0.00752,chr10
FAM53B,0.254,chr10
DHX32,0.513,chr10
BCCIP,0.504,chr10
ADAM12,0.833,chr10
DOCK1,0.387,chr10
FOXI2,0.204,chr10
PTPRE,0.00212,chr10
MKI67,0.516,chr10
CAMK1D,0.353,chr10
OPTN,0.0798,chr10
PPP2R2D,0.104,chr10
BNIP3,0.531,chr10
STK32C,0.00303,chr10
TUBGCP2,0.691,chr10
MTG1,0.105,chr10
SPRN,0.243,chr10
BEND7,0.0306,chr10
PRPF18,0.00568,chr10
FAM107B,0.00702,chr10
PTER,0.379,chr10
VIM-AS1,0.316,chr10
VIM,0,chr10
STAM,0.568,chr10
ARL5B,0.118,chr10
PLXDC2,0.000147142857142857,chr10
NEBL,0.013,chr10
MLLT10,0.523,chr10
LOC105376449,0.661,chr10
PIP4K2A,0.322,chr10
KIAA1217,0.0949,chr10
LINC01516,0.325,chr10
ENKUR,0.293,chr10
THNSL1,0.481,chr10
ANKRD26,0.375,chr10
YME1L1,0.427,chr10
ACBD5,0.612,chr10
DIP2C,0.733,chr10
MKX,0.221,chr10
WAC-AS1,0.089,chr10
SVIL-AS1,0,chr10
SCD,0.00059,chr10
OLMALINC,0.861,chr10
SEC31B,0.367,chr10
HIF1AN,0.335,chr10
DPCD,0.611,chr10
POLL,0.0516,chr10
ACTR1A,0.1016,chr10
SVIL,0,chr10
JCAD,0.752,chr10
MTPAP,0.85,chr10
MAP3K8,0.261,chr10
PFKP,5.1e-05,chr10
PITRM1-AS1,0.00936,chr10
PITRM1,0.354,chr10
EPC1,0.472,chr10
ITGB1,0.74,chr10
CUL2,0.289,chr10
CREM,0.558,chr10
ZNF248,0.408,chr10
ZNF33A,0.343,chr10
ZNF37A,0.493,chr10
HSD17B7P2,0.755,chr10
LINC00999,0.358,chr10
BMS1,0.664,chr10
CSGALNACT2,0.433,chr10
RASGEF1A,0.0246,chr10
ERCC6,0.0624,chr10
PARG,0.592,chr10
AKR1C2,0,chr10
TIMM23B,0.692,chr10
TIMM23B-AGAP6,0.57,chr10
WASHC2A,0.152,chr10
SGMS1,0.427,chr10
ASAH2B,0.137,chr10
ASB13,0.282,chr10
TASOR2,0.139,chr10
GDI2,0.69,chr10
IPMK,0.0013,chr10
TFAM,0.376,chr10
FBH1,0.844,chr10
CCDC6,0.00442,chr10
ARID5B,0.441,chr10
ADO,0.358,chr10
NRBF2,0.142,chr10
JMJD1C,0.761,chr10
PBLD,0.303,chr10
HNRNPH3,0.165,chr10
RUFY2,0.644,chr10
SLC25A16,0.756,chr10
DDX50,0.502,chr10
DDX21,0.136,chr10
KIFBP,0.173,chr10
VPS26A,0.503,chr10
SAR1A,0.834,chr10
LRRC20,0.783,chr10
SGPL1,0.173,chr10
CHST3,0,chr10
FUT11,0.00549,chr10
ZSWIM8-AS1,0.121,chr10
NDST2,0.0718,chr10
CAMK2G,0.698,chr10
SAMD8,0.949,chr10
VDAC2,0.01,chr10
POLR3A,0.666,chr10
ATP5F1C,0.0627,chr10
PLAC9,0.816,chr10
BMPR1A,0.353,chr10
ADIRF-AS1,0.638,chr10
ADIRF,0.574,chr10
AGAP11,0.428,chr10
CH25H,0.474,chr10
PCGF5,0.753,chr10
BTAF1,0.154,chr10
MARCHF5,0.214,chr10
MYOF,0.106,chr10
SORBS1,0.733,chr10
TCTN3,0.0287,chr10
CCNJ,0.627,chr10
PI4K2A,0.157,chr10
CRTAC1,0.525,chr10
ABCC2,0.0598,chr10
OGA,0.628,chr10
HPS6,0.417,chr10
GBF1,0.702,chr10
NFKB2,0.268,chr10
LOC107984265,0.00613,chr10
PCGF6,0.6,chr10
PDCD4,0.558,chr10
GPAM,0.863,chr10
ACSL5,0.337,chr10
ZDHHC6,0.623,chr10
TCF7L2,0.536,chr10
CCDC186,0.324,chr10
ECHDC3,0.86,chr10
UPF2,0.659,chr10
RGS10,0.611,chr10
SEC61A2,0.749,chr10
NUDT5,0.542,chr10
PSTK,0.189,chr10
LOC103344931,0.251,chr10
HSPA12A-AS1,0.83,chr10
HSPA12A,0.941,chr10
LOC105376418,0.508,chr10
CCDC3,0.543,chr10
LOC105378560,0.00803,chr10
MGMT,0.0447,chr10
GLRX3,0.263,chr10
INPP5A,0.0589,chr10
PHYH,0.00563,chr10
SEPHS1,0.0599,chr10
LOC100421372,0.656,chr10
HSPA14,0.549,chr10
DCLRE1C,0.623,chr10
SUV39H2,0.593,chr10
TRDMT1,0.804,chr10
HACD1,0.808,chr10
DNAJC1,0.644,chr10
MASTL,0.243,chr10
MPP7,0.016,chr10
ZNF438,0.421,chr10
KIF5B,0.726,chr10
NRP1,0.000535,chr10
CCNY,0.804,chr10
KLF6,0.341,chr10
ZNF25,0.0561,chr10
HNRNPF,0.136,chr10
MARCHF8,0.00164,chr10
AKR1C1,0.172,chr10
LOC107984198,0,chr10
AKR1C3,0,chr10
PRKG1-AS1,0.0453,chr10
PRKG1,0.0412,chr10
CISD1,0.0723,chr10
IL15RA,0.349,chr10
CDK1,0.721,chr10
TMEM26,0.346,chr10
PFKFB3,0.897,chr10
REEP3,0.459,chr10
PRKCQ,0.53,chr10
HERC4,0.0937,chr10
AIFM2,0.446,chr10
BMS1P4,0.378,chr10
SEC24C,0.0535,chr10
ZSWIM8,0.184,chr10
ZMIZ1-AS1,0.675,chr10
BEND3P3,0.00684,chr10
GHITM,0.0902,chr10
WAPL,0.859,chr10
ATAD1,0.373,chr10
FAS,0.36,chr10
NOC3L,0.814,chr10
RAB11FIP2,0.268,chr10
INPP5F,0,chr10
FGFR2,0.00291,chr10
GOT1,0.196,chr10
SFR1,0.657,chr10
ADRA2A,0.125,chr10
DENND10,0.747,chr10
PRDX3,0.24,chr10
CDC123,0.371,chr10
ABRAXAS2,0.0654,chr10
LRRC27,0.196,chr10
FRMD4A,0,chr10
MINDY3,0.224,chr10
RSU1,0.522,chr10
MSRB2,0.0586,chr10
PRTFDC1,0.0113,chr10
PDSS1,0.0436,chr10
ZEB1,0.159,chr10
ARHGAP12,0.84,chr10
ZNF37BP,0.249,chr10
ZFAND4,0.406,chr10
AKR1E2,0.328,chr10
MAPK8,0.088,chr10
ARHGAP22,0.821,chr10
VSTM4,0,chr10
CSTF2T,0.129,chr10
RHOBTB1,0.137,chr10
CCAR1,0.498,chr10
C10orf143,0.089,chr10
FAM171A1,0.207,chr10
NSUN6,0.0145,chr10
CACNB2,0.0956,chr10
SLC29A3,0.394,chr10
VCL,0.252,chr10
ZNF503-AS1,0.258,chr10
ZNF503,0.255,chr10
NUTM2A-AS1,0.0352,chr10
LINC00863,0.191,chr10
RNLS,0.871,chr10
MORN4,0.66,chr10
GOLGA7B,0.513,chr10
NDUFB8,0.871,chr10
MIR2110,0.817,chr10
SFXN4,0.242,chr10
IKZF5,0.526,chr10
BUB3,0.601,chr10
ABI1,0.552,chr10
ZEB1-AS1,0.826,chr10
LOC101929540,0.219,chr10
WASHC2C,0.1133,chr10
P4HA1,0.0978,chr10
ECD,0.747,chr10
LOC105378358,0.147,chr10
FAM149B1,0.158,chr10
DNAJC9,0.376,chr10
DNAJC9-AS1,0.272,chr10
MRPS16,0.997,chr10
CFAP70,0.983,chr10
ANXA7,0.489,chr10
SYNPO2L-AS1,0.505,chr10
FRA10AC1,0.831,chr10
CWF19L1,0.289,chr10
FBXW4,0.475,chr10
STN1,0.459,chr10
SMC3,0.607,chr10
RPP38,0.124,chr10
NMT2,0.125,chr10
BMI1,0.318,chr10
ARHGAP21,0.892,chr10
WAC,0.889,chr10
PARD3,0.352,chr10
DEPP1,0.0442,chr10
RASSF4,0.114,chr10
ZNF22-AS1,0.849,chr10
ZNF22,0.155,chr10
AGAP6,0.83,chr10
ANKRD16,0.0706,chr10
HK1,0.374,chr10
C10orf105,0.0855,chr10
ANAPC16,0.303,chr10
DDIT4,0.516,chr10
RPS24,0.707,chr10
NUTM2E,0.153,chr10
HECTD2,0.715,chr10
IDE,0.12,chr10
LCOR,0.795,chr10
RRP12,0.901,chr10
BTRC,0.465,chr10
PPRC1,0.846,chr10
MIR1307,0.665,chr10
ATP5MK,0.0386,chr10
ADD3,0.989,chr10
SMNDC1,0.668,chr10
CTBP2,0.326,chr10
ZRANB1,0.352,chr10
UROS,0.708,chr10
ECHS1,0.505,chr10
CDNF,0.42,chr10
CXCL12,0.113,chr10
ZNF32-AS3,0.456,chr10
ZNF32-AS2,0.498,chr10
ZNF32,0.466,chr10
SGMS1-AS1,0.673,chr10
IDI2,0.00153,chr10
USP6NL,0.674,chr10
BICC1,0.496,chr10
FAM13C,0.766,chr10
PHYHIPL,0.743,chr10
MTMR2,0.705,chr11
CEP57,0.769,chr11
WEE1,0.343,chr11
CCDC82,0.739,chr11
JRKL,0.882,chr11
SWAP70,0.367,chr11
LOC105369149,0.0288,chr11
SBF2-AS1,0.034,chr11
SBF2,0.0509,chr11
LOC101928008,0.584,chr11
AP2A2,0.882,chr11
ARHGAP42,0.129,chr11
CEP126,0.0882,chr11
BIRC3,0.403,chr11
TMEM123,0.00378,chr11
WTAPP1,0,chr11
MMP10,0.932,chr11
MMP1,0,chr11
DCUN1D5,0.298,chr11
DYNC2H1,0.898,chr11
AMPD3,0.894,chr11
CASP1,0.384,chr11
RNF141,0.915,chr11
CWF19L2,0.66,chr11
ALKBH8,0.204,chr11
CTR9,0.575,chr11
CUL5,0.429,chr11
ACAT1,0.0223,chr11
ATM,0.884,chr11
C11orf65,0.835,chr11
POGLUT3,0.236,chr11
ZBED5,0.0109,chr11
FDX1,0.00155,chr11
SIK2,0.0563,chr11
PPP2R1B,0.199,chr11
GALNT18,0.526,chr11
TTC12,0.596,chr11
USP28,0.372,chr11
ZBTB16,0.945,chr11
NNMT,0.115,chr11
CADM1,0.689,chr11
SIK3,0.776,chr11
CEP164,0.0924,chr11
MPZL2,0.0101,chr11
UBE4A,0.145,chr11
ATP5MG,0.998,chr11
KMT2A,0.999,chr11
TMEM25,0.0733,chr11
IFT46,0.339,chr11
ARCN1,0.664,chr11
PHLDB1,0.725,chr11
TREH,0.889,chr11
LOC105369519,0.547,chr11
DDX6,0.549,chr11
BCL9L,0.028,chr11
HYOU1,0.0477,chr11
VPS11,0.332,chr11
USP47,0.1,chr11
HMBS,0.372,chr11
RNF26,0.715,chr11
DKK3,0.25,chr11
OAF,0.36,chr11
TBCEL-TECTA,0.2,chr11
TBCEL,0.249,chr11
MICAL2,0.584,chr11
UBASH3B,0.74,chr11
LOC101929289,0.433,chr11
CLMP,0.311,chr11
ZNF202,0.949,chr11
VWA5A,0.266,chr11
TBRG1,0.0261,chr11
MSANTD2,0.0343,chr11
PARVA,0.385,chr11
PKNOX2,0.944,chr11
STT3A-AS1,0.0798,chr11
EI24,0.0815,chr11
FEZ1,0.0822,chr11
STT3A,0.298,chr11
CHEK1,0.746,chr11
HYLS1,0.402,chr11
PUS3,0.4,chr11
VSIG10L2,0.455,chr11
CDON,0.000315,chr11
SRPRA,0.164,chr11
FOXRED1,0.374,chr11
TIRAP,0.0131,chr11
HP11014,0.11,chr11
DCPS,0.338,chr11
GSEC,0.106,chr11
ETS1,0.184,chr11
ARHGAP32,0.799,chr11
TEAD1,0.125,chr11
SNX19,0.357,chr11
IGSF9B,0.0355,chr11
LINC02731,0.835,chr11
JAM3,0.982,chr11
NCAPD3,0.733,chr11
VPS26B,0.468,chr11
ACAD8,0.343,chr11
GLB1L3,0.751,chr11
GLB1L2,0.374,chr11
SPON1,0.173,chr11
PSMA1,0.781,chr11
LOC105376571,0.797,chr11
C11orf58,0.244,chr11
PIK3C2A,0.444,chr11
NUCB2,0.821,chr11
CTSD,0.366,chr11
IFITM10,0,chr11
NCR3LG1,0.0527,chr11
KCNJ11,0.244,chr11
SAAL1,0.445,chr11
SAA1,3e-06,chr11
HPS5,0.971,chr11
SPTY2D1OS,0.913,chr11
SPTY2D1,0.889,chr11
"NAV2",0.797,chr11
LOC388572,0.0202,chr11
BET1L,0.0881,chr11
RIC8A,0.454,chr11
SVIP,0.0276,chr11
GAS2,0.0302,chr11
PSMD13,0.893,chr11
FIBIN,0.535,chr11
"NAP1L4",0.39,chr11
CARS1,0.566,chr11
OSBPL5,0.246,chr11
TCP11L1,0.675,chr11
LINC00294,0.384,chr11
CSTF3,0.15,chr11
C11orf91,0.0877,chr11
CD59,0.0843,chr11
FBXO3,0.25,chr11
LMO2,0.145,chr11
CAT,0.0738,chr11
LOC105376624,0.0606,chr11
APIP,0.000795,chr11
PDHX,0.928,chr11
CD44,0,chr11
TRIM44,0.0192,chr11
PGAP2,0.389,chr11
RRM1,0.796,chr11
API5,0.612,chr11
LOC105376644,0.668,chr11
ALKBH3,0.428,chr11
CD82,0.0737,chr11
PRDM11,0.765,chr11
ARFGAP2,0.597,chr11
ACP2,0.504,chr11
MADD,0.0658,chr11
SLC39A13,0.654,chr11
MTCH2,0.111,chr11
FNBP4,0.013,chr11
NUP160,0.0862,chr11
PTPRJ,0.023,chr11
RNH1,0.842,chr11
MIR210HG,0.00639,chr11
ZFP91-CNTF,0.0728,chr11
ZFP91,0.0748,chr11
FAM111A-DT,0.00787,chr11
FAM111A,0.0115,chr11
CCDC86,0.164,chr11
IRF7,0.178,chr11
RAB3IL1,0.946,chr11
FTH1,0.0159,chr11
BEST1,0.0127,chr11
INCENP,0.11,chr11
FHIP1B,0.3,chr11
AHNAK,0.00333,chr11
NXF1,0.543,chr11
SNHG1,0.925,chr11
SNORD22,0.939,chr11
PLAAT3,0.301,chr11
SPINDOC,0.0799,chr11
MARK2,0.0771,chr11
"NAA40",0.00126,chr11
TRIM3,0.49,chr11
SF1,0.252,chr11
EHD1,0.656,chr11
PPP2R5B,0.934,chr11
SYVN1,0.0306,chr11
CAPN1,0.171,chr11
POLA2,0.1018,chr11
DNHD1,0.426,chr11
FRMD8,0.127,chr11
LOC101927789,0.953,chr11
LTBP3,0.472,chr11
EHBP1L1,0.0658,chr11
MAP3K11,0.217,chr11
PCNX3,0.82,chr11
SIPA1,0.474,chr11
RELA,0.245,chr11
KAT5,0.236,chr11
RNASEH2C,0.214,chr11
AP5B1,0.757,chr11
CFL1,0.82,chr11
SNX32,0.827,chr11
FIBP,0.354,chr11
ILK,0.00919,chr11
SF3B2,0.835,chr11
TAF10,0.0304,chr11
TPP1,0.261,chr11
PACS1,0.483,chr11
BRMS1,0.179,chr11
ZDHHC24,0.552,chr11
BBS1,0.334,chr11
MRPL17,0.00625,chr11
RHOD,0.0384,chr11
ANKRD13D,0.405,chr11
ALDH3B1,0.236,chr11
NDUFS8,0.23,chr11
TCIRG1,0.00292,chr11
CHKA,0.494,chr11
C11orf24,0.528,chr11
PPP6R3,0.752,chr11
IGHMBP2,0.838,chr11
TPCN2,0.683,chr11
SMIM38,0.0747,chr11
CCND1,0.505,chr11
ZNF214,0.0105,chr11
ZNF215,0.0891,chr11
DEAF1,0.0619,chr11
TMEM80,0.215,chr11
EPS8L2,0.0635,chr11
CTTN,0.0572,chr11
NUMA1,0.468,chr11
ARHGEF17,0.38,chr11
PAAF1,0.417,chr11
C2CD3,0.274,chr11
P4HA3,0.799,chr11
PPME1,0.0759,chr11
PGM2L1,0.21,chr11
POLD3,0.0666,chr11
CHRDL2,0.262,chr11
XRRA1,0.0398,chr11
RNF169,0.101,chr11
RPS3,0.512,chr11
SERPINH1,0.209,chr11
LOC105369391,0.2,chr11
MAP6,0.168,chr11
UVRAG,0.219,chr11
EMSY,0.548,chr11
CYB5R2,3.3e-05,chr11
LOC107984360,0.221,chr11
LRRC32,0.227,chr11
GATD1,0.514,chr11
ACER3,0.758,chr11
CAPN5,0.000885,chr11
MYO7A,0.0467,chr11
RSF1,0.67,chr11
AAMDC,0.384,chr11
INTS4,0.0457,chr11
KCTD14,0.823,chr11
KCTD21-AS1,0.123,chr11
KCTD21,0.11,chr11
SLC25A22,0.0816,chr11
EIF3F,0.997,chr11
TUB,0.738,chr11
RIC3,0.321,chr11
PRCP,0.549,chr11
RAB30,0.599,chr11
CCDC90B,0.603,chr11
PICALM,0.658,chr11
TRIM66,0.0416,chr11
EED,0.0699,chr11
ME3,0.392,chr11
PRSS23,0.839,chr11
FZD4,0.0635,chr11
DENND2B,0.241,chr11
CTSC,0,chr11
CHORDC1,0.749,chr11
TMEM41B,0.494,chr11
SLC36A4,0.0412,chr11
MRE11,0.94,chr11
IPO7,0.848,chr11
ANKRD49,0.232,chr11
AMOTL1,0.519,chr11
SRSF8,0.159,chr11
LOC100129203,0.456,chr11
LOC101929295,0.347,chr11
SESN3,0.484,chr11
FAM76B,0.309,chr11
MAML2,0.00248,chr11
ANGPTL5,0.863,chr11
YAP1,0.103,chr11
MMP13,0,chr11
PDGFD,0.66,chr11
MSANTD4,0.347,chr11
KBTBD3,0.854,chr11
AASDHPPT,0.792,chr11
NPAT,0.0277,chr11
ZBED5-AS1,0.26,chr11
ALG9,0.957,chr11
HSPB2-C11orf52,0.0271,chr11
C11orf52,0.0262,chr11
DIXDC1,0.847,chr11
DLAT,0.773,chr11
PIH1D2,0.843,chr11
RBM7,0.418,chr11
REXO2,0.627,chr11
H2AX,0.283,chr11
DPAGT1,0.427,chr11
C2CD2L,0.247,chr11
HINFP,0.393,chr11
NLRX1,0.775,chr11
TLCD5,0.282,chr11
ARHGEF12,0.768,chr11
SORL1,0.2,chr11
MIR100HG,3.8e-05,chr11
JHY,0.035,chr11
GRAMD1B,0.0125,chr11
SIAE,0.507,chr11
MSANTD2-AS1,0.321,chr11
SLC37A2,0.785,chr11
ST3GAL4,0.0423,chr11
TOLLIP,0.249,chr11
APLP2,0.746,chr11
BIRC2,0.768,chr11
MMP3,0,chr11
EIF4G2,0.124,chr11
LOC105376547,0.00371,chr11
RDX,0.408,chr11
ZC3H12C,0.4,chr11
FAR1,0.201,chr11
RRAS2,0.424,chr11
PLEKHA7,0.449,chr11
LDHA,6e-05,chr11
SIRT3,0.473,chr11
TSSC4,0.544,chr11
MPPED2,0.52,chr11
IFITM2,8e-06,chr11
IFITM1,0.0267,chr11
DNAJC24,0.39,chr11
IMMP1L,0.727,chr11
IFITM3,0,chr11
DEPDC7,0.1037,chr11
HIPK3,0.0424,chr11
"NAT10",0.872,chr11
ABTB2,0.0365,chr11
PAMR1,0.937,chr11
TRAF6,0.377,chr11
LOC107984325,0.932,chr11
IFTAP,0.949,chr11
RAG2,0.947,chr11
NUP98,0.987,chr11
HSD17B12,0.278,chr11
TRIM21,0.459,chr11
ACCS,0.227,chr11
TP53I11,0.000635,chr11
LRP4-AS1,0.752,chr11
LRP4,0.833,chr11
NR1H3,0.972,chr11
PSMC3,0.667,chr11
HRAS,0.373,chr11
TRIM6-TRIM34,0.592,chr11
TRIM34,0.597,chr11
TRIM5,0.746,chr11
TRIM22,0.238,chr11
TNKS1BP1,0.257,chr11
SLC43A3,0.0596,chr11
PRG2,0.0334,chr11
TMX2-CTNND1,0.65,chr11
CTNND1,0.458,chr11
MTA2,0.245,chr11
EML3,0.412,chr11
ROM1,0.669,chr11
GANAB,0.12,chr11
CSKMT,0.0759,chr11
LBHD1,0.486,chr11
UQCC3,0.067,chr11
HNRNPUL2-BSCL2,0.532,chr11
BSCL2,0.589,chr11
TTC9C,0.393,chr11
LOC107984336,0.212,chr11
ATL3,0.349,chr11
RTN3,0.2,chr11
ZFTA,0.209,chr11
STIP1,0.166,chr11
TRPT1,0.771,chr11
VEGFB,0.344,chr11
ESRRA,0.796,chr11
PRDX5,0.107,chr11
MEN1,0.832,chr11
ARL2-SNX15,0.269,chr11
SNX15,0.284,chr11
CATSPER1,0.0667,chr11
DPP3-DT,0.552,chr11
PELI3,0.23,chr11
LRP5,0.905,chr11
MRGPRF,0.0427,chr11
MYEOV,0.0327,chr11
LRTOMT,0.972,chr11
ANAPC15,0.965,chr11
INPPL1,0.0828,chr11
ARAP1,0.0121,chr11
KCNE3,0.579,chr11
SPCS2,0.988,chr11
PPFIBP2,1e-06,chr11
NDUFC2-KCTD14,0.556,chr11
NDUFC2,0.552,chr11
ALG8,0.957,chr11
PNPLA2,0.715,chr11
RAB30-DT,0.516,chr11
PCF11,0.739,chr11
ANKRD42,0.0003025,chr11
TSPAN4,0.94,chr11
RPL27A,0.605,chr11
CHID1,0.714,chr11
RAB38,0.492,chr11
TMEM9B-AS1,0.854,chr11
NRIP3-DT,0.0104,chr11
SCUBE2,0.00899,chr11
DENND5A,0.427,chr11
CEP295,0.0155,chr11
C11orf54,0.198,chr11
TAF1D,0.249,chr11
MED17,0.579,chr11
PANX1,0.462,chr11
SLC35F2,0.357,chr11
C11orf1,0.639,chr11
NXPE2,0.762,chr11
C11orf71,0.069,chr11
BUD13,0.615,chr11
APOA1-AS,0.592,chr11
PAFAH1B2,0.248,chr11
TAGLN,0.344,chr11
PCSK7,0.74,chr11
FXYD6-FXYD2,0.0106,chr11
FXYD6,0.022,chr11
CBL,0.00905,chr11
HSPA8,0.226,chr11
BACE1,0.761,chr11
RNF214,0.691,chr11
CXCR5,0.578,chr11
CENATAC,0.445,chr11
RPL23AP64,0.798,chr11
RPS25,0.342,chr11
TRAPPC4,0.186,chr11
SLC37A4,0.245,chr11
MCAM,0.00537,chr11
SPA17,0.222,chr11
TMEM218,0.164,chr11
RPUSD4,0.47,chr11
BARX2,0.114,chr11
"NAV2-AS2",0.0962,chr11
LIN7C,0.345,chr11
BDNF-AS,0.341,chr11
BDNF,0.321,chr11
METTL15,0.841,chr11
RCN1,0.0356,chr11
PRRG4,0.567,chr11
QSER1,0.838,chr11
STIM1,0.07,chr11
EXT2,0.123,chr11
ATG13,0.314,chr11
DDB2,0.615,chr11
PHRF1,0.0563,chr11
VPS37C,0.723,chr11
CPSF7,0.271,chr11
EEF1G,0.629,chr11
TUT1,0.641,chr11
C11orf98,0.369,chr11
INTS5,0.376,chr11
SMPD1,0.823,chr11
ARFIP2,0.17,chr11
TIMM10B,0.436,chr11
MALAT1,0.45,chr11
EFEMP2,0.837,chr11
SART1,0.417,chr11
EIF1AD,0.812,chr11
BANF1,0.752,chr11
DCHS1,0.112,chr11
KLC2-AS1,0.495,chr11
KLC2,0.458,chr11
LOC107984340,0.124,chr11
RAB1B,0.104,chr11
CPT1A,0.502,chr11
STARD10,0.318,chr11
NEU3,0.223,chr11
ARRB1,0.0069,chr11
PAK1,0.148,chr11
HIKESHI,0.139,chr11
AKIP1,0.0121,chr11
SMCO4,0.457,chr11
PIWIL4-AS1,0.982,chr11
PIWIL4,0.978,chr11
ENDOD1,0.00013375,chr11
ZNF143,0.614,chr11
IRAG1-AS1,0.147,chr11
LYVE1,0.153,chr11
NKAPD1,0.021,chr11
SIDT2,0.203,chr11
POU2F3,0.0285,chr11
SC5D,0.483,chr11
FLI1,0.217,chr11
CYP2R1,0.779,chr11
LOC107984317,0.0715,chr11
SERGEF,0.0703,chr11
KCNC1,0.0686,chr11
LSP1,0.519,chr11
IGF2,0.319,chr11
CCDC34,0.24,chr11
LGR4,0.00117,chr11
SLC22A18,0.0157,chr11
PGGHG,0.123,chr11
ZNF195,0.123,chr11
RHOG,0.258,chr11
CHST1,0.00482,chr11
SLC35C1,0.115,chr11
TRIM68,0.619,chr11
SSRP1,0.94,chr11
SERPING1,0.46,chr11
TMX2,0.0417,chr11
LOC101927226,0.455,chr11
OSBP,0.473,chr11
NFRKB,0.0729,chr11
PRDM10,0.779,chr11
ZBTB44,0.878,chr11
STX3,0.0669,chr11
TMEM258,0.636,chr11
FEN1,0.905,chr11
FADS1,0.598,chr11
FADS2,0.0618,chr11
SLC3A2,0.291,chr11
NUDT22,0.704,chr11
GPR137,0.275,chr11
TRMT112,0.945,chr11
CCDC88B,0.883,chr11
YIF1A,0.477,chr11
RPS6KB2,0.651,chr11
GSTP1,0.0377,chr11
NDUFV1,0.132,chr11
PPFIA1,0.126,chr11
"NADSYN1",0.318,chr11
ATG16L2,0.957,chr11
FAM168A,0.102,chr11
RAB6A,0.728,chr11
USP35,0.0287,chr11
GAB2,0.056,chr11
RPLP2,0.0709,chr11
CD151,0.000185,chr11
POLR2L,0.000242,chr11
CREBZF,0.732,chr11
TMEM9B,0.0207,chr11
SNORA32,0.206,chr11
FUT4,0.455,chr11
FDXACB1,0.602,chr11
CRYAB,0.871,chr11
RPS13,0.856,chr11
FANCF,0.0463,chr11
SOX6,0.598,chr11
UEVLD,0.935,chr11
KIF18A,0.0923,chr11
EIF3M,0.509,chr11
CCDC73,0.528,chr11
PRR5L,0.735,chr11
ALKBH3-AS1,0.0949,chr11
CREB3L1,0.704,chr11
DGKZ,0.159,chr11
PLCB3,0.817,chr11
ZNRD2,0.00597,chr11
FAM89B,0.0059,chr11
DPP3,0.232,chr11
CTSF,0.701,chr11
RBM14-RBM4,0.5,chr11
RBM14,0.412,chr11
KMT5B,0.0158,chr11
LOC171391,0.654,chr11
ARL14EP,0.244,chr11
CARS1-AS1,0.425,chr11
LDLRAD3,0.739,chr11
CWC15,0.36,chr11
CASP4,0.914,chr11
DDX10,0.78,chr11
ZPR1,0.507,chr11
HTATIP2,0.622,chr11
CD81,0.00561,chr11
TTC17,0.0266,chr11
DDB1,0.00561,chr11
TMEM216,0.127,chr11
OTUB1,0.852,chr11
CDC42EP2,0.551,chr11
FOSL1,0.697,chr11
SYT12,0.153,chr11
SSH3,0.773,chr11
RAD9A,0.329,chr11
PPP1CA,0.494,chr11
DHCR7,0.00773,chr11
IL18BP,0.0359,chr11
TSKU,0.597,chr11
TMEM126A,0.181,chr11
TMEM135,0.924,chr11
MPZL3,0.0683,chr11
THYN1,0.991,chr11
CAPRIN1,0.448,chr11
PHF21A,0.000376666666666667,chr11
LPXN,0.945,chr11
LOC114841035,0.137,chr11
FKBP2,0.128,chr11
ATG2A,0.0147,chr11
SLC38A1,0.102,chr12
AKAP3,0.917,chr12
NDUFA9,0.111,chr12
AMIGO2,0.295,chr12
RAPGEF3,0.0553,chr12
HDAC7,0.0137,chr12
VDR,0.191,chr12
SENP1,0.254,chr12
PFKM,0.925,chr12
ASB8,0.0321,chr12
KANSL2,0.474,chr12
CCNT1,0.152,chr12
CACNB3,0.771,chr12
RND1,0.00156,chr12
ARF3,0.00465,chr12
FKBP11,0.00503,chr12
CCDC65,0.00239,chr12
NCKAP5L,0.309,chr12
COX14,0,chr12
CERS5,0,chr12
LIMA1,0.906,chr12
DIP2B,0.831,chr12
ATF1,0.849,chr12
POU6F1,0.2,chr12
LOC102723983,0.734,chr12
DAZAP2,0.743,chr12
ACVR1B,0.895,chr12
ZNF740,0.996,chr12
RARG,0.0714,chr12
SP1,0.909,chr12
ATP5MC2,0.65,chr12
CALCOCO1,0.422,chr12
HOTAIR,0.193,chr12
CBX5,0.41,chr12
PDE1B,0.499,chr12
PPP1R1A,0.523,chr12
B4GALNT3,0.705,chr12
RPL41,0.215,chr12
ESYT1,0.037,chr12
MYL6B,0.929,chr12
MYL6,0.422,chr12
SMARCC2,0.531,chr12
TIMELESS,0.157,chr12
RBMS2,0.0144,chr12
BAZ2A,0.55,chr12
ATP5F1B,0.798,chr12
PTGES3,0.267,chr12
LRP1,0.395,chr12
